trip_distance(km),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,encoded_driving_style,encoded_tire_type
50,12.29,0,0,1,15.5,0,1,47.0,-1.3,0.0,1
43,8.68,0,1,1,18.0,0,1,58.0,1.2,0.0,1
44,1.5,0,1,1,16.1,0,1,43.0,-0.7,0.0,1
76,14.44,0,1,0,19.0,0,1,76.0,2.2,0.0,1
15,6.84,1,0,0,16.1,0,1,23.0,-0.7,0.0,1
63,7.1,0,1,0,18.3,0,1,80.0,1.5,2.0,1
85,15.3,0,1,1,18.0,0,1,47.0,1.2,2.0,1
71,13.77,0,0,1,19.4,0,1,45.0,2.6,2.0,1
76,14.26,0,0,1,15.8,0,1,78.0,-1.0,0.0,1
80,13.08,0,0,1,14.0,0,0,52.0,-2.8,1.0,1
59,4.61,0,0,1,14.6,0,0,66.0,-2.2,1.0,1
53,15.21,0,0,1,17.2,0,1,52.0,0.4,0.0,1
47,2.7,0,0,1,18.7,0,1,40.0,1.9,0.0,1
72,14.81,0,0,1,20.0,0,1,67.0,3.2,0.0,1
75,12.04,0,0,1,16.6,0,1,58.0,-0.2,0.0,1
57,12.87,0,0,1,16.3,0,1,54.0,-0.5,0.0,1
90,12.35,0,0,1,17.7,0,1,54.0,0.9,0.0,1
54,15.05,0,0,1,15.3,0,1,37.0,-1.5,0.0,1
38,8.6,0,0,1,15.7,0,1,51.0,-1.1,0.0,1
60,5.04,0,0,1,15.6,0,1,58.0,-1.2,0.0,1
60,3.0,0,0,1,13.5,0,0,57.0,-3.3,1.0,1
44,7.92,1,0,1,16.2,0,1,53.0,-0.6,0.0,1
38,2.9,1,0,1,17.1,0,1,63.0,0.3,0.0,1
47,13.96,1,0,1,19.6,0,1,37.0,2.8,0.0,1
7,10.3,0,0,1,17.7,0,1,44.0,0.9,2.0,1
55,2.3,0,0,1,18.2,0,1,62.0,1.4,2.0,1
83,9.66,0,0,1,15.6,0,1,65.0,-1.2,0.0,1
78,13.77,0,0,1,15.7,0,1,67.0,-1.1,0.0,1
31,13.25,1,0,1,17.9,0,1,43.0,1.1,0.0,1
59,3.57,1,0,1,15.3,0,1,59.0,-1.5,0.0,1
62,9.73,1,0,1,15.7,0,1,44.0,-1.1,0.0,1
